车辆编号,进入时刻 (秒),速度 (米/秒),离开时刻 (秒),停留时间
1,5.50,13.66,42.10,36.60
2,10.36,12.99,48.84,38.48
3,15.12,10.29,63.71,48.59
4,19.89,14.33,54.78,34.89
5,26.47,10.10,75.96,49.49
6,32.24,14.85,65.91,33.67
7,36.77,10.91,82.60,45.83
8,42.31,10.92,88.11,45.80
9,47.55,12.16,88.67,41.12
10,50.64,11.46,94.28,43.64
11,54.63,11.46,98.25,43.63
12,59.94,11.83,102.20,42.26
13,66.41,11.00,111.87,45.46
14,71.18,12.57,110.95,39.77
15,75.64,13.04,113.99,38.35
16,80.75,10.85,126.82,46.07
17,85.15,13.42,122.40,37.25
18,89.85,12.20,130.84,40.98
19,94.84,10.17,144.00,49.15
20,98.78,14.55,133.16,34.37
21,104.61,11.56,147.86,43.26
22,108.38,12.60,148.07,39.68
23,112.06,14.85,145.73,33.67
24,117.25,13.88,153.29,36.03
25,122.99,10.44,170.87,47.88
26,128.16,10.98,173.70,45.54
27,133.05,11.94,174.91,41.86
28,137.75,11.36,181.77,44.03
29,142.29,11.40,186.13,43.84
30,148.34,12.71,187.67,39.33
31,153.67,10.37,201.87,48.20
32,158.28,14.93,191.76,33.48
33,162.60,10.03,212.47,49.86
34,168.22,14.08,203.73,35.52
35,174.25,13.86,210.33,36.08
36,180.18,10.37,228.39,48.21
37,184.34,14.32,219.27,34.93
38,189.03,13.12,227.15,38.12
39,193.55,11.55,236.82,43.27
40,198.37,11.63,241.37,43.01
41,204.18,14.44,238.81,34.64
42,210.53,12.36,250.98,40.45
43,215.90,13.80,252.12,36.22
44,220.25,12.81,259.29,39.04
45,225.22,12.61,264.85,39.64
46,231.78,12.14,272.97,41.19
47,236.87,11.57,280.08,43.21
48,241.57,12.54,281.43,39.86
49,246.35,12.05,287.84,41.49
50,251.71,13.78,288.00,36.29
51,255.90,14.65,290.03,34.13
52,260.39,14.04,296.01,35.61
53,266.31,14.02,301.98,35.67
54,271.64,10.93,317.37,45.73
55,276.74,14.04,312.36,35.62
56,282.70,14.48,317.23,34.53
57,287.00,11.14,331.89,44.88
58,291.68,12.14,332.88,41.20
59,296.97,10.03,346.80,49.83
60,302.23,12.55,342.06,39.83
61,305.82,10.60,352.99,47.17
62,310.40,11.69,353.17,42.78
63,315.23,12.59,354.94,39.70
64,320.64,13.52,357.63,37.00
65,325.90,14.81,359.65,33.76
66,330.82,11.26,375.23,44.41
67,333.90,11.42,377.67,43.77
68,338.88,10.18,387.97,49.09
69,343.94,10.26,392.68,48.75
70,351.40,11.39,395.29,43.89
71,356.21,10.72,402.83,46.62
72,361.51,12.45,401.68,40.17
73,367.65,11.19,412.34,44.69
74,373.40,13.64,410.06,36.65
75,379.81,13.17,417.78,37.97
76,383.41,12.68,422.84,39.44
77,387.41,10.20,436.42,49.00
78,391.85,12.95,430.45,38.60
79,395.30,13.23,433.10,37.80
80,400.37,10.87,446.36,45.99
81,404.45,14.68,438.50,34.05
82,411.00,10.69,457.78,46.78
83,415.21,14.62,449.41,34.19
84,419.89,14.39,454.65,34.75
85,425.70,14.09,461.20,35.50
86,429.47,12.78,468.61,39.14
87,432.87,10.47,480.64,47.78
88,438.05,14.49,472.57,34.52
89,443.31,11.70,486.06,42.75
90,449.09,11.75,491.66,42.57
91,454.61,14.44,489.25,34.64
92,459.91,13.90,495.88,35.97
93,464.23,10.81,510.49,46.26
94,469.46,14.49,503.96,34.50
95,474.76,10.03,524.63,49.87
96,479.04,10.80,525.32,46.28
97,485.91,13.26,523.62,37.71
98,491.38,11.12,536.34,44.96
99,495.41,11.63,538.41,43.00
100,501.19,13.73,537.60,36.41
101,507.16,13.29,544.79,37.63
102,512.57,12.84,551.51,38.94
103,517.33,11.33,561.47,44.15
104,521.57,11.22,566.14,44.56
105,526.49,14.46,561.07,34.58
106,531.84,13.16,569.84,38.01
107,536.85,12.88,575.66,38.81
108,543.30,12.46,583.42,40.12
109,548.93,11.40,592.77,43.84
110,553.07,10.12,602.47,49.40
111,557.00,14.70,591.01,34.01
112,562.48,14.77,596.34,33.85
113,567.26,10.08,616.88,49.62
114,572.97,14.64,607.12,34.15
115,578.45,14.82,612.19,33.74
116,583.37,14.27,618.42,35.05
117,587.53,14.26,622.60,35.07
118,591.01,11.58,634.17,43.16
119,596.23,14.68,630.28,34.06
120,599.98,13.48,637.07,37.09
121,604.10,13.08,642.34,38.24
122,609.25,14.95,642.69,33.44
123,614.31,14.39,649.06,34.75
124,618.17,13.70,654.65,36.49
125,624.25,11.80,666.63,42.38
126,630.30,11.47,673.90,43.60
127,635.82,14.34,670.70,34.88
128,641.33,14.57,675.66,34.33
129,646.85,13.99,682.58,35.74
130,655.70,13.25,693.44,37.74
131,661.65,14.45,696.25,34.60
132,667.30,11.69,710.08,42.77
133,671.53,12.89,710.32,38.79
134,676.29,10.18,725.41,49.12
135,683.61,11.43,727.34,43.73
136,686.74,12.95,725.34,38.60
137,691.27,10.64,738.28,47.01
138,697.36,12.61,737.01,39.65
139,701.64,13.11,739.77,38.13
140,707.32,10.43,755.28,47.95
141,712.37,12.70,751.73,39.36
142,716.72,13.19,754.63,37.92
143,719.69,13.98,755.47,35.78
144,724.88,11.35,768.92,44.04
